"termine_inglese","italiano_preferito","dominio","trattamento","nota"
"Hardcore","Estremo","modalità di gioco","tradurre","Variante con regole più severe"
"Squadron Battle","Battaglia tra squadroni","Arena Commander","tradurre","Modalità competitiva a squadre"
"Theaters of War","Teatri di guerra","modalità di gioco","tradurre","Nome descrittivo della modalità"
"Armor Set","Completo d'armatura","equipaggiamento","tradurre","Insieme coordinato di parti dell'armatura"
"Character Reset","Ripristino del personaggio","servizi di account","tradurre","Procedura tecnica sul sito RSI"
"Spawn","Ingresso in gioco","modalità di gioco","tradurre","Usare rigenerazione quando indica un ritorno dopo la morte"
"Anti-Air Gun","Cannone antiaereo","combattimento","tradurre","Armamento destinato alla difesa contro bersagli aerei"
"Orbital Mining Laser","Laser minerario orbitale","impianti","tradurre","Sistema minerario installato su una stazione orbitale"
"Match Cycling","Rotazione delle partite","modalità di gioco","tradurre","Avvio in successione di nuove partite"
"Pickup","Rifornimento in Arena Commander; Ritiro nelle missioni logistiche","Arena Commander e missioni logistiche","contestuale","Usare Rifornimento per bonus o risorse raccolti nella mappa; usare Ritiro per il prelievo di un carico"
"Pirate Swarm","Sciame pirata","Arena Commander","tradurre","Nome descrittivo della modalità"
"Vanduul Swarm","Sciame Vanduul","Arena Commander","tradurre","Nome descrittivo della modalità"
"Badge","Distintivo","progressione","tradurre","Riconoscimento visivo ottenuto dal giocatore"
"Moderator","Moderatore","servizi di sessione","tradurre","Ruolo di gestione della sala d'attesa"
"Multiplayer","Multigiocatore","modalità di gioco","tradurre","Evitare il prestito inglese nei testi visibili"
"PvE","Contro avversari controllati","modalità di gioco","espandere","Filtro rivolto al giocatore"
"PvP","Contro altri giocatori","modalità di gioco","espandere","Filtro rivolto al giocatore"
"Death Recap","Riepilogo del decesso","combattimento","tradurre","Schermata riepilogativa successiva alla morte"
"Life Review","Riepilogo della vita","combattimento","tradurre","Sezione delle statistiche relative all'ultima vita"
"Overtime","Tempi supplementari","modalità di gioco","tradurre","Prolungamento di una partita competitiva"
"Bubble Shield","Scudo a bolla","combattimento spaziale","tradurre","Configurazione dello scudo"
"Engineering Panel","Pannello di ingegneria","ingegneria","tradurre","Interfaccia della rete delle risorse"
"Experimental Mode","Modalità sperimentale","modalità di gioco","tradurre","Prova temporanea di funzionalità in sviluppo"
"Multi-Tool","Multitool","equipaggiamento","prestito_acclimatato","Forma richiesta dal progetto; invariabile e con iniziale maiuscola"
"Multitool","Multitool","equipaggiamento","mantenere","Grafia senza trattino presente in alcune stringhe sorgente; invariabile e con iniziale maiuscola"
"Operation Save Stanton","Operation Save Stanton","eventi narrativi","mantenere","Nome proprio canonico dell'evento; non tradurre per compatibilità con mappe e guide"
"Save Stanton","Save Stanton","eventi narrativi","mantenere","Forma abbreviata del nome proprio canonico; non tradurre"
"Emergency Communication Network","Emergency Communication Network","servizi di emergenza","mantenere","Nome canonico del servizio; mantenere per coerenza con la sigla ECN"
"ECN","ECN","servizi di emergenza","mantenere","Sigla operativa canonica della Emergency Communication Network"
"Character Customization","Personalizzazione del personaggio","interfaccia","contestuale","Nel titolo esteso usare Personalizzazione del personaggio; nel pulsante compatto usare Personalizza personaggio"
"Primary Residence","Residenza principale","mondo di gioco","tradurre","Luogo iniziale associato al personaggio"
"Tutorial","Guida introduttiva","interfaccia","tradurre","Evitare il prestito inglese"
"Accept","Accetta","interfaccia","tradurre","Pulsante"
"Cancel","Annulla","interfaccia","tradurre","Pulsante"
"Close","Chiudi","interfaccia","tradurre","Pulsante"
"Confirm","Conferma","interfaccia","tradurre","Pulsante"
"Continue","Continua","interfaccia","tradurre","Pulsante"
"Exit","Esci","interfaccia","tradurre","Pulsante"
"Apply","Applica","interfaccia","tradurre","Pulsante"
"Back","Indietro","interfaccia","tradurre","Pulsante"
"Settings","Impostazioni","interfaccia","tradurre",""
"Options","Opzioni","interfaccia","tradurre",""
"Inventory","Inventario","interfaccia","tradurre",""
"Contract","Incarico","missioni","tradurre","Preferito a contratto nelle voci di gioco"
"Contract Manager","Gestione incarichi","missioni","tradurre","Nome della sezione mobiGlas"
"Objective","Obiettivo","missioni","tradurre",""
"Reward","Ricompensa","missioni","tradurre",""
"Reputation","Reputazione","missioni","tradurre",""
"Bounty","Taglia","missioni","tradurre",""
"Bounty Hunter","Cacciatore di taglie","missioni","tradurre",""
"Beacon","Segnale (missioni); Beacon (sottotuta)","missioni e modelli di sottotute RSI","contestuale","Tradurre come segnale nelle missioni; mantenere Beacon nel nome canonico della sottotuta RSI"
"Distress Beacon","Segnale di soccorso","missioni","tradurre",""
"Waypoint","Punto di rotta","navigazione","tradurre",""
"Marker","Indicatore","interfaccia","tradurre",""
"Target","Bersaglio","combattimento","tradurre",""
"Targeting","Puntamento / sistema di puntamento","combattimento e veicoli","tradurre_contestuale","Usare Puntamento nelle etichette brevi e sistema di puntamento quando il dialogo indica l'apparato o la selezione del bersaglio"
"Target Lock","Aggancio bersaglio","combattimento","tradurre",""
"Missile Lock","Aggancio missile","combattimento","tradurre","Forma breve per gli avvisi; aggancio missilistico nei testi discorsivi"
"Damage","Danno","combattimento","tradurre",""
"Damage Per Second","Danno al secondo","combattimento","tradurre","Sigla DPS ammessa solo dove imposta dall'interfaccia"
"Rate of Fire","Cadenza di tiro","armi e combattimento","tradurre","Numero di colpi sparati nell'unità di tempo"
"Recoil","Rinculo","combattimento","tradurre",""
"Reload","Ricarica","combattimento","tradurre","Sostantivo o comando secondo il contesto"
"Magazine","Caricatore","combattimento","tradurre",""
"Ammunition","Munizioni","combattimento","tradurre",""
"Ballistic Weapon","Arma balistica","combattimento","tradurre",""
"Energy Weapon","Arma a energia","combattimento","tradurre",""
"Beam Weapon","Arma a fascio","combattimento","tradurre",""
"Laser","Laser","combattimento","prestito_acclimatato","Termine italiano d'uso tecnico"
"Turret","Torretta","combattimento","tradurre",""
"Manned Turret","Torretta con equipaggio","combattimento","tradurre",""
"Remote Turret","Torretta remota","combattimento","tradurre",""
"Missile Rack","Supporto missili","combattimento","tradurre","Forma compatta e funzionale per inventario e pannelli tecnici"
"Hardpoint","Punto d'aggancio","veicoli","tradurre",""
"Gimbal","Supporto brandeggiabile","veicoli","contestuale","Nel testo comune tradurre; nelle etichette tecniche compatte delle impostazioni conservare Gimbal per riconoscibilità e compatibilità con le guide"
"Armor","Corazza","veicoli","tradurre","Armatura solo per equipaggiamento personale"
"Personal Armor","Armatura personale","equipaggiamento","tradurre",""
"Hull","Scafo","veicoli","tradurre",""
"Shield","Scudo","veicoli","tradurre",""
"Shield Generator","Generatore di scudi","veicoli","tradurre",""
"Power Plant","Generatore di energia","veicoli","contestuale","Nei campi tecnici stretti usare Generatore"
"Cooler","Refrigeratore","veicoli","tradurre","Componente di bordo"
"Cooling","Raffreddamento","veicoli","tradurre",""
"Coolant","Refrigerante","veicoli","tradurre","Liquido refrigerante nei testi discorsivi"
"Heat Sink","Dissipatore termico","veicoli e componenti","tradurre","Componente che disperde il calore"
"Heat","Calore","veicoli","tradurre",""
"Overheat","Surriscaldamento","veicoli","tradurre",""
"Overclock","Sovralimentazione","veicoli","tradurre","Da verificare nel contesto del componente"
"Wear","Usura","veicoli","tradurre",""
"Durability","Durabilità","veicoli","tradurre",""
"Repair","Riparazione","servizi","tradurre",""
"Refuel","Rifornimento","servizi","tradurre",""
"Rearm","Rifornimento munizioni","servizi","tradurre",""
"Insurance","Assicurazione","servizi","tradurre",""
"Retrieve Vehicle","Richiama veicolo","servizi","tradurre","Terminale di flotta"
"Store Vehicle","Ricovera veicolo","servizi","tradurre","Terminale di flotta"
"Claim Vehicle","Richiedi sostituzione","servizi","tradurre","Sinistro assicurativo"
"Vehicle","Veicolo","veicoli","tradurre","Usare nave quando il contesto è esclusivamente spaziale"
"Spacecraft","Astronave","veicoli","tradurre",""
"Ship","Nave","veicoli","tradurre",""
"Gunship","Cannoniera","veicoli","tradurre",""
"Snub Craft","Velivolo ultraleggero","veicoli","tradurre",""
"Starter Ship","Nave iniziale","veicoli","tradurre",""
"Cargo","Carico","carico","tradurre",""
"Cargo Center","Centro Cargo","luoghi e servizi logistici","tradurre_prestito","Etichetta di zona e destinazione nelle stazioni: mantenere le iniziali maiuscole in mappa; usare centro cargo in minuscolo soltanto come nome comune in una frase"
"Cargo Bay","Stiva","carico","tradurre",""
"Cargo Hold","Stiva","carico","tradurre",""
"Cargo Grid","Griglia di carico","carico","tradurre",""
"Freight Elevator","Montacarichi","carico e luoghi","contestuale","Tradurre come Montacarichi nell'uso funzionale; mantenere Freight Elevator quando è il nome ufficiale di una stanza o zona per mappe e guide"
"Commodity","Merce","carico","tradurre",""
"Container","Contenitore","carico","tradurre",""
"Storage","Deposito","carico","tradurre","Usare archiviazione per i dati"
"Salvage","Recupero","recupero","tradurre","Attività di recupero dei relitti"
"Salvage Claim","Concessione di recupero","recupero","tradurre","Diritto contrattuale a recuperare materiali da un relitto o da una zona assegnata"
"Salvage Ship","Nave da recupero","recupero","tradurre",""
"Recycled Material Composite","Composito di materiale riciclato","recupero","tradurre","Sigla canonica RMC ammessa"
"Scrap","Rottami","recupero","tradurre",""
"Mining","Estrazione mineraria","estrazione","tradurre",""
"Mining Laser","Laser estrattivo","estrazione","tradurre",""
"Ore","Minerale grezzo","estrazione","tradurre",""
"Refinery","Raffineria","estrazione","tradurre",""
"Refining","Raffinazione","estrazione","tradurre",""
"Tractor Beam","Raggio traente","tecnologia","tradurre",""
"Quantum Drive","Propulsore quantico","navigazione","contestuale","Nei campi tecnici stretti usare Propulsore QT"
"Quantum Travel","Viaggio quantico","navigazione","tradurre",""
"Quantum Fuel","Carburante quantico","navigazione","tradurre",""
"Quantum Interdiction","Interdizione quantica","navigazione","tradurre",""
"Quantum Enforcement","Interdizione quantica","navigazione","tradurre","Adattare se indica il ruolo della nave"
"Jump Drive","Propulsore di salto","navigazione","tradurre",""
"Jump Point","Punto di salto","navigazione","tradurre",""
"Navigation Mode","Modalità navigazione","navigazione","tradurre",""
"NAV Mode","Modalità NAV","navigazione","sigla_canonica",""
"SCM Mode","Modalità SCM","navigazione","sigla_canonica","Space Combat Maneuvering"
"Master Modes","Modalità principali","navigazione","tradurre",""
"Flight Mode","Modalità di volo","navigazione","tradurre",""
"Coupled Mode","Modalità accoppiata","navigazione","tradurre",""
"Decoupled Mode","Modalità disaccoppiata","navigazione","tradurre",""
"Flight Ready","Pronta al volo","veicoli","tradurre","Concordare con nave"
"Spooling","Inizializzazione","navigazione","tradurre","Propulsore quantico"
"Calibration","Calibrazione","navigazione","tradurre",""
"Docking","Attracco","navigazione","tradurre",""
"Docking Port","Porto d'attracco","navigazione","tradurre",""
"Docking Collar","Collare d'attracco","navigazione","tradurre",""
"Docking Request","Richiesta d'attracco","navigazione","tradurre",""
"Landing Gear","Carrello d'atterraggio","veicoli","tradurre",""
"Thruster","Propulsore di manovra","veicoli","tradurre","Adattare per propulsore principale"
"Afterburner","Postbruciatore","veicoli","tradurre",""
"Fuel Intake","Presa di carburante","veicoli","tradurre",""
"VTOL","DAV","veicoli e volo","tradurre","Decollo e atterraggio verticali; usare la sigla italiana nel testo visibile"
"EVA","Attività extraveicolare (EVA)","movimento nello spazio","tradurre_o_sigla","Usare la forma estesa quando lo spazio lo consente; la sigla vale anche in italiano"
"Airlock","Camera stagna","ambienti","tradurre",""
"Cockpit","Cabina di pilotaggio","ambienti","tradurre",""
"Hangar","Hangar","ambienti","mantenere","Prestito pienamente integrato nell'italiano; preferito per mappe e guide"
"Elevator","Ascensore","ambienti","tradurre",""
"Door","Porta","ambienti","tradurre",""
"Breach","Breccia / irruzione","ambienti e tattica","contestuale","Usare breccia per l'apertura fisica e irruzione per l'ingresso forzato o il relativo conto alla rovescia"
"Atmosphere","Atmosfera","ambienti","tradurre",""
"Pressure","Pressione","ambienti","tradurre",""
"Life Support","Supporto vitale","ambienti","tradurre",""
"Gravity","Gravità","ambienti","tradurre",""
"Engineering","Gestione tecnica","sistemi","tradurre","Usare ingegneria per la disciplina"
"Power","Alimentazione","sistemi","contestuale","Valutare energia o potenza; nei tab tecnici compatti usare Energia"
"Fuse","Fusibile","sistemi","tradurre",""
"Relay","Relè o ripetitore","sistemi e comunicazioni","contestuale","Usare relè per componenti elettrici e ripetitore per nodi di comunicazione; mantenere Relay quando è il marker fisico ufficiale"
"Resource Network","Rete delle risorse","ingegneria di bordo","tradurre","Rete che distribuisce energia, raffreddamento e altre risorse"
"Component","Componente","sistemi","tradurre",""
"Loadout","Allestimento","equipaggiamento e veicoli","tradurre","Configurazione di oggetti o componenti installati; nei pulsanti compatti sono ammesse le forme Allestimento base e Allestimento assicurato"
"Blueprint","Progetto","fabbricazione","tradurre",""
"Crafting","Fabbricazione","fabbricazione","tradurre",""
"Fabricator","Fabbricatore","fabbricazione","tradurre","Macchinario"
"Scanner","Sensore di scansione","sensori","tradurre",""
"Scan","Scansione","sensori","tradurre","Sostantivo; usare analizza come comando"
"Ping (sensori)","Impulso radar","sensori","tradurre","Emissione attiva usata per rilevare segnali e oggetti"
"Radar","Radar","sensori","prestito_acclimatato","Termine italiano d'uso tecnico"
"Signature","Firma","sensori","tradurre","Specificare elettromagnetica infrarossa o radar"
"Cross-Section Signature","Firma di sezione radar","sensori","tradurre",""
"Head Tracking","Tracciamento della testa","comandi","contestuale","Nel testo esteso tradurre; nelle etichette tecniche compatte delle impostazioni conservare Head Tracking insieme ai nomi tecnici COMMS, FOIP e VR"
"Operator Mode","Modalità operatore","comandi","tradurre",""
"Interaction Mode","Modalità interazione","comandi","tradurre",""
"Keybind","Assegnazione tasto","comandi","tradurre",""
"Respawn","Rigenerazione","personaggio","tradurre",""
"Spawn Point","Punto di rigenerazione","personaggio","tradurre",""
"Regeneration","Rigenerazione","personaggio","tradurre",""
"Imprint","Impronta biologica","personaggio","tradurre","Sistema medico"
"Incapacitated","Incapacitato","personaggio","tradurre",""
"Revive","Rianima","personaggio","tradurre","Comando; rianimazione come sostantivo"
"CrimeStat","Livello criminale","legalità","tradurre","Nome del valore nel testo comune"
"Armistice Zone","Zona d'armistizio","legalità","tradurre",""
"Clearance","Autorizzazione","legalità","tradurre",""
"Law Enforcement","Forze dell'ordine","legalità","tradurre",""
"Civilian Defense Force","Civilian Defense Force","lore","mantenere","Nome canonico dell'organizzazione; sigla CDF"
"United Empire of Earth","United Empire of Earth","lore","mantenere","Nome canonico dell'entità politica; sigla UEE"
"UEE","UEE","lore","sigla_canonica",""
"Advocacy","Advocacy","lore","nome_proprio","Agenzia di polizia intersistemica della UEE"
"mobiGlas","mobiGlas","lore","marchio_canonico",""
"Spectrum","Spectrum","lore","marchio_canonico",""
"Arena Commander","Arena Commander","modalità","nome_proprio",""
"Star Marine","Star Marine","modalità","nome_proprio",""
"Persistent Universe","Universo persistente","modalità","tradurre",""
"StarMap","Mappa stellare","navigazione e mobiGlas","tradurre","Quando non è usato come nome proprio SkyLine"
"Server","Server","tecnologia","prestito_acclimatato","Termine italiano d'uso informatico"
"Server Meshing","Interconnessione dei server","tecnologia","tradurre",""
"Shard","Istanza persistente","infrastruttura di gioco","tradurre","Partizione persistente del mondo di gioco; solo nel significato infrastrutturale"
"Wipe","Azzeramento","tecnologia","tradurre",""
"Take-off","Decollo","volo","tradurre",""
"Landing","Atterraggio","volo","tradurre",""
"Assisted landing","Atterraggio assistito","volo","tradurre",""
"Automated landing","Atterraggio automatico","volo","tradurre",""
"COMSTAB","COMSTAB","volo","sigla_canonica","Sistema di stabilizzazione in combattimento"
"Rear","Posteriore","orientamento","tradurre","Settore di scudo; poppa nei riferimenti nautici"
"Forward","Anteriore","orientamento","tradurre","Settore di scudo; prua nei riferimenti nautici"
"Port","Babordo","orientamento","tradurre","Lato sinistro della nave"
"Starboard","Tribordo","orientamento","tradurre","Lato destro della nave"
"Overhead","Superiore","orientamento","tradurre","Settore superiore"
"Deck","Ponte","interni delle navi","tradurre","Piano strutturale di una nave o stazione"
"Noise","Disturbo","contromisure","tradurre","Contromisura elettromagnetica"
"Decoy","Esca","contromisure","tradurre","Contromisura a firma"
"Self-destruct","Autodistruzione","sistemi di bordo","tradurre",""
"Ejection","Espulsione","sistemi di bordo","tradurre",""
"Power core","Nucleo energetico","sistemi di bordo","tradurre",""
"EDL","EDL","volo","sigla_canonica","Fase di ingresso, discesa e atterraggio"
"Personal Inner Thought","Menu delle azioni personali","interfaccia","tradurre","Evitare il calco letterale; indica il menu contestuale del personaggio"
"PIT menu","Menu delle azioni personali","interfaccia e interazioni","tradurre","Menu contestuale delle azioni disponibili al personaggio; non mantenere la sigla inglese nel testo visibile"
"Buff","Potenziamento","stato del personaggio","tradurre",""
"Debuff","Penalità","stato del personaggio","tradurre",""
"Blood Drug Level (BDL)","Livello di farmaci nel sangue (LFS)","medicina","tradurre","Usare LFS in italiano"
"Medical Bed Tier","Livello del letto medico","medicina","tradurre","Livello 1, 2 o 3"
"Undersuit","Sottotuta","equipaggiamento","tradurre",""
"Asset app","App Beni","mobiGlas","tradurre","Applicazione per rintracciare gli oggetti posseduti"
"Local Storage","Deposito locale","inventario","tradurre",""
"Cargo Services","Servizio merci","carico","tradurre","Servizio di assegnazione delle piattaforme di carico"
"Cargo Spindle","Braccio portacarico","carico","tradurre","Elemento estensibile delle navi Hull"
"MFD","Schermo multifunzione (MFD)","interfaccia di bordo","sigla_canonica","Mantenere la sigla tecnica dopo la prima forma estesa"
"Tether","Aggancio","raggio traente","tradurre","Collegamento mantenuto dal raggio traente"
"Jettison","Espulsione","carico","tradurre","Espulsione di emergenza del contenuto della stiva"
"FPS","A piedi","modalità di gioco","contestuale","Nel testo esteso indica l'azione svolta dal personaggio, non su veicolo; conservarlo nei profili tecnici compatti delle impostazioni"
"Mining Module","Modulo minerario","estrazione","tradurre",""
"Fracture Mode","Modalità fratturazione","estrazione","tradurre",""
"Extraction Mode","Modalità estrazione","estrazione","tradurre",""
"Radar Ping","Impulso radar","scansione","tradurre",""
"Repair Beam","Raggio di riparazione","riparazione","tradurre",""
"Salvage Beam","Raggio di recupero","recupero","tradurre",""
"Medical Device","Dispositivo medico","medicina","tradurre","Strumento portatile per diagnosi, cura e somministrazione di farmaci"
"Medical Beam","Raggio medico","medicina","tradurre",""
"Multi-Tool Healing Attachment","Accessorio medico per Multitool","medicina","tradurre_prestito","Mantenere Multitool come termine vincolante"
"Advanced Mode","Modalità avanzata","medicina","tradurre",""
"Basic Mode","Modalità base","medicina","tradurre",""
"Dosage","Dosaggio","medicina","tradurre",""
"Body Dragging","Trascinamento del corpo","movimento","tradurre",""
"Knockdown","Caduta a terra","combattimento","tradurre","Preferire una formulazione naturale ad atterramento quando indica il personaggio abbattuto"
"Melee Combat","Combattimento corpo a corpo","combattimento","tradurre",""
"Grenade Priming","Innesco della granata","combattimento","tradurre",""
"Fleet Manager","Gestione flotta","terminali","tradurre","Nei riferimenti al chiosco usare terminale di gestione flotta"
"Vehicle Retrieval","Richiamo del veicolo","terminali","tradurre","Operazione che porta il veicolo assegnato in hangar"
"Landing Services","Servizi di atterraggio","volo","tradurre","Usare Servizi di Atterraggio con le iniziali maiuscole quando costituisce il nome proprio visualizzato di un contatto ATC o di un reparto"
"Air Traffic Control (ATC)","Controllo del traffico aereo (CTA)","volo","tradurre","Usare la sigla italiana CTA nel testo visibile"
"Missile Mode","Modalità missili","combattimento di bordo","tradurre",""
"Countermeasure","Contromisura","combattimento di bordo","tradurre",""
"Boost","Sovraspinta","volo","tradurre","Incremento temporaneo della spinta dei propulsori"
"Engage Systems","Avvia sistemi","sistemi di bordo","tradurre","Etichetta del comando di avvio"
"Monitored Space","Spazio sorvegliato","legalità","tradurre","Area coperta da un ripetitore di comunicazioni attivo"
"Comm Array","Comm Array nei nomi; ripetitore di comunicazioni nei testi descrittivi","legalità e comunicazioni","contestuale","Mantenere Comm Array nei nomi di luogo, nei marcatori e nei riferimenti utili per mappe e guide"
"Uplink","Uplink nell'interfaccia; collegamento ascendente nei testi descrittivi","comunicazioni","contestuale","Mantenere l'identificativo tecnico nei comandi e negli stati della Comm Array"
"Passkey","Chiave di accesso","sicurezza informatica","tradurre","Credenziale necessaria per accedere al terminale"
"Stash","Nascondiglio per il luogo; scorta nascosta per il contenuto","missioni criminali","contestuale","Adattare in base al riferimento al sito o ai beni occultati"
"rot","rot","sostanze di lore","mantenere","Nome gergale della sostanza intossicante; conservare la grafia originale minuscola"
"Crusader Historical Society","Crusader Historical Society","organizzazioni di lore","mantenere","Nome proprio canonico del mittente dei marker storici"
"Private Match","Partita privata","modalità di gioco","tradurre",""
"Restricted Area","Zona vietata / Area Interdetta","navigazione ed eventi dinamici","contestuale","Usare Zona vietata negli avvisi generici; usare Area Interdetta, con le maiuscole, per la denominazione operativa durante Siege of Orison"
"AR Marker Tunnel","Corridoio di indicatori in realtà aumentata","navigazione","tradurre","Non mantenere la sigla inglese AR"
"Trading and Shipping Console","Console commercio e spedizioni","commercio","tradurre",""
"Local Market Value","Valore di mercato locale","commercio","tradurre","Nome della scheda"
"EM Signature","Firma elettromagnetica (EM)","sensori","tradurre","La sigla EM coincide nelle due lingue"
"IR Signature","Firma infrarossa (IR)","sensori","tradurre","La sigla IR coincide nelle due lingue"
"Ambient Signature","Firma ambientale","sensori","tradurre",""
"Scan Focus","Messa a fuoco della scansione","sensori","tradurre","Parametro che restringe il campo per intensificare le firme rilevate"
"Scan Noise","Disturbo di scansione","sensori","tradurre",""
"Scan Progress Bar","Barra di avanzamento scansione","sensori","tradurre",""
"Signature Strength Bar","Indicatore intensità della firma","sensori","tradurre",""
"Scan Reticle","Reticolo di scansione","sensori","tradurre",""
"Logging Out","Disconnessione","sessione","tradurre","Come titolo; per il comando usare Disconnettiti"
"Despawn","Rimozione dal server","sessione","tradurre","Riformulare con rimuovere dal server nel testo discorsivo"
"Initial Spawn Location","Punto di ingresso iniziale","sessione","tradurre","Accesso alla sessione, distinto dalla rigenerazione medica"
"Regen Location","Luogo di rigenerazione","medicina","tradurre",""
"Medical Bed","Letto medico","medicina","tradurre",""
"Sim Cab","Cabina di simulazione","Arena Commander","tradurre","Cabina usata per accedere alla simulazione"
"Pipe","Condotto","rete delle risorse","tradurre","Canale fisico che trasporta una risorsa tra componenti"
"Scrubber","Depuratore","supporto vitale","tradurre","Sistema che rimuove contaminanti dall'atmosfera"
"Consumer","Utenza","rete delle risorse","tradurre","Componente che assorbe una risorsa"
"Producer","Fonte","rete delle risorse","tradurre","Componente che genera o fornisce una risorsa"
"Thermal Shutdown","Arresto termico","gestione termica","tradurre","Disattivazione protettiva causata dal surriscaldamento"
"Venting","Espulsione dell'atmosfera","supporto vitale","tradurre","Scarico controllato dell'atmosfera da un ambiente; nel pulsante di stato compatto usare Sfiato in corso..."
"Survey Ship","Nave da ricognizione","esplorazione","tradurre","Nave impiegata per rilevare e catalogare un sistema"
"Flare Star","Stella a brillamenti","astronomia","tradurre","Stella soggetta a improvvisi e intensi aumenti di luminosità"
"Marine","Fante di marina","forze armate","tradurre","Militare della Fanteria di Marina; mantenere gli eventuali nomi propri ufficiali che includano Marine"
"Game Client","Programma di gioco","infrastruttura di gioco","tradurre","Applicazione locale del gioco; evitare client nei testi rivolti al giocatore"
"Login Queue","Coda d'accesso","connessione","tradurre","Coda che regola l'ingresso ai servizi di gioco"
"Sandbox","Ambiente isolato","sicurezza informatica","tradurre","Ambiente separato usato per limitare e verificare l'esecuzione del programma"
"Stamina","Resistenza / Stamina","stato del personaggio e modelli di propulsori","contestuale","Tradurre con Resistenza come caratteristica; mantenere Stamina come nome canonico del propulsore Alliance Startech"
"Heart Rate","Frequenza cardiaca","stato del personaggio","tradurre",""
"Grav-Lev Vehicle","Veicolo a levitazione gravitazionale","veicoli","tradurre","Forma estesa nel testo visibile"
"Team Elimination","Eliminazione a squadre","modalità di gioco","tradurre",""
"Light Amplification","Amplificazione luminosa","ottiche","tradurre","Funzione di visione in condizioni di scarsa luminosità"
"Zoom Level","Livello di ingrandimento","ottiche","tradurre",""
"OxyPen","OxyPen","medicina","nome_canonico","Nome dell'iniettore di ossigeno"
"Comms","Comunicazioni","mobiGlas","tradurre","Etichetta dell'app e delle relative icone"
"Vehicle Maintenance Services","Servizi manutenzione veicoli","mobiGlas","tradurre",""
"Equipment Manager","Gestione equipaggiamento","mobiGlas","tradurre",""
"Personal Status","Stato personale","mobiGlas","tradurre",""
"Ship Status","Stato della nave","mobiGlas","tradurre",""
"Vehicle Loadout Manager","Gestione allestimento veicoli","mobiGlas","tradurre",""
"Wallet","Portafoglio","mobiGlas","tradurre",""
"Audio Feed","Trasmissione audio","comunicazioni","tradurre",""
"Video Feed","Trasmissione video","comunicazioni","tradurre",""
"Friend Request","Richiesta di amicizia","comunicazioni","tradurre",""
"Party","Squadra","multigiocatore","tradurre","Distinguere dai canali e dai gruppi di comunicazione"
"Bookmark","Segnalibro","comunicazioni","tradurre",""
"Pending","In sospeso","interfaccia","tradurre",""
"Merit","Merito","valuta","tradurre","Valuta carceraria; al plurale usare Meriti"
"Recipient","Destinatario","transazioni","tradurre",""
